,train,val,test
0,#1-1 7817B8509,#69-1 B18-02249-A21,#53-1 7815-B4257-H
1,#1-2 7817B8509,#69-2 B18-02249-A18,#53-2 7815-B4257-G
2,#1-3 7817B8509,#69-3 B18-02249-A11,#51-1 B-22-05617-A5
3,#4-1 7816B3476,#69-4 B18-02249-A14,#51-2 B-22-05617-A8
4,#4-2 7816B3476,#69-5 B18-02249-A17,#30-1 11174-16
5,#4-3 7816B3476-070,#69-6 B18-02249-A19,#30-2 11174-16
6,#6-1 12422-19,#69-7 B18-02249-A20,#30-3 11174-16-051
7,#6-2 12422-19-064,#69-8 B18-02249-A22,#21-1 15997-13
8,#6-3 12422-19-063,#15-1 5937-18,#21-2 15997-13-061
9,#7-1 7340-19,#15-2 5937-18,#21-3 15997-13-059
10,#7-2 7340-19-043,#15-3 5937-18-012,#68-1 B18-00886-A9
11,#7-3 7340-19-042,#5-1 3505-13-065,#68-2 B18-00886-A10
12,#18-1 5165-19,#5-2 3505-13-069,#68-3 B18-00886-A5
13,#18-2 5165-19,#5-3 3505-13-066,#68-4 B18-00886-A7
14,#18-3 5165-19,#61-1 7816-B2200-1A,#68-5 B18-00886-A8
15,#26-1 232-16,#61-2 7816-B2200-1B,#68-6 B18-00886-A6
16,#26-2 232-16,#61-3 7816-B2200-FP1B,#2-1 7817B11902
17,#26-3 232-16,#34-1 7818B5025,#2-2 7817B11902
18,#28-1 4611-16-089,#34-2 7818B5025,#2-3 7817B11902
19,#28-2 4611-16,#34-3 7818B5025,#19-1 6709-19-052
20,#28-3 4611-16,#24-1 2805-15,#19-2 6709-19
21,#33-1 7817B9793,#24-2 2805-15,#19-3 6709-19-053
22,#33-2 7817B9793,#24-3 2805-15,
23,#33-3 7817B9793,#13-1 4176-18,
24,#38-1 B21-12017-A8,#13-2 4176-18,
25,#38-2 B21-12017-A10,#13-3 4176-18,
26,#38-3 B21-12017-A11,,
27,#48-1 7815-B3143-1E,,
28,#48-2 7815-B3143-1H,,
29,#48-3 7815-B3143-1L,,
30,#48-4 7815-B3143-1G,,
31,#54-1 B-19-02542-A2,,
32,#54-2 B-19-02542-A4,,
33,#63-1 7816-B2245-D,,
34,#63-2 7816-B2245-E,,
35,#66-1 7815-B9613-A,,
36,#11-1 7197-17,,
37,#11-2 7197-17-034,,
38,#11-3 7197-17-035,,
39,#12-1 9764-17-033,,
40,#12-2 9764-17,,
41,#12-3 9764-17,,
42,#14-1 5224-18-005,,
43,#14-2 5224-18,,
44,#14-3 5224-18-015,,
45,#20-1 14877-13,,
46,#20-2 14877-13-055,,
47,#20-3 14877-13,,
48,#22-1 16293-13-062,,
49,#22-2 16293-13,,
50,#22-3 16293-13,,
51,#23-1 650-15,,
52,#23-2 650-15-004,,
53,#23-3 650-15-013,,
54,#27-1 4646-16,,
55,#27-2 4646-16,,
56,#27-3 4646-16,,
57,#29-1 7253-16-047,,
58,#29-2 7253-16-092,,
59,#29-3 7253-16-093,,
60,#35-1 B-19-09233-A5,,
61,#35-2 B-19-09233-A9,,
62,#35-3 B-19-09233-A10,,
63,#37-1 B-20-03357-B13,,
64,#37-2 B-20-03357-B14,,
65,#37-3 B-20-03357-B17,,
66,#37-4 B-20-03357-B15,,
67,#37-5 B-20-03357-B12,,
68,#37-6 B-20-03357-B11,,
69,#37-7 B-20-03357-B10,,
70,#37-8 B-20-03357-B9,,
71,#41-1 B23-02852-A25,,
72,#41-2 B23-02852-A27,,
73,#41-3 B23-02852-A30,,
74,#41-4 B23-02852-A32,,
75,#41-5 B23-02852-A24,,
76,#45-1 B23-11889-A6,,
77,#45-2 B23-11889-A7,,
78,#45-3 B23-11889-A8,,
79,#45-4 B23-11889-A5,,
80,#50-1 B25-06910-A10,,
81,#50-2 B25-06910-A15,,
82,#50-3 B25-06910-A16,,
83,#56-1 B-20-03470-A5,,
84,#56-2 B-20-03470-A6,,
85,#57-1 B21-07861-A5,,
86,#57-2 B21-07861-A6,,
87,#57-3 B21-07861-A4,,
88,#58-1 B19-08189-C5,,
89,#58-2 B19-08189-C6,,
90,#62-1 7816-B2200-3A,,
91,#62-2 7816-B2200-FP3F,,
92,#64-1 7815-B313-C,,
93,#72-1 7816-B3551-1H,,
94,#72-2 7816-B3551-1M,,
95,#72-3 7816-B3551-1G,,
96,#3-1 B-20-00998,,
97,#3-2 B-20-00998,,
98,#3-3 B-20-00998,,
99,#8-1 5263-19,,
100,#8-2 5263-19,,
101,#8-3 5263-19,,
102,#9-1 14710-16-046,,
103,#9-2 14710-16-045,,
104,#9-3 14710-16-037,,
105,#10-1 1164-17,,
106,#10-2 1164-17,,
107,#10-3 1164-17,,
108,#16-1 B-18-03270-A12,,
109,#16-2 B-18-03270-A14,,
110,#16-3 B-18-03270-A15,,
111,#16-4 B-18-03270-A13,,
112,#17-1 11670-18,,
113,#17-2 11670-18-025,,
114,#17-3 11670-18-009,,
115,#25-1 B-19-03893-A10,,
116,#25-2 B-19-03893-A11,,
117,#25-3 B-19-03893-A14,,
118,#25-4 B-19-03893-A16,,
119,#25-5 B-19-03893-A15,,
120,#25-6 B-19-03893-A8,,
121,#25-7 B-19-03893-A7,,
122,#25-8 B-19-03893-A5,,
123,#31-1 B-18-02412,,
124,#31-2 B-18-02412,,
125,#31-3 B-18-02412,,
126,#32-1 B-19-08670-A5,,
127,#32-2 B-19-08670-A9,,
128,#32-3 B-19-08670-A10,,
129,#32-4 B-19-08670-A7,,
130,#36-1 B20-02954-F15,,
131,#36-2 B20-02954-F16,,
132,#36-3 B20-02954-F18,,
133,#36-4 B20-02954-F20,,
134,#36-5 B20-02954-F19,,
135,#36-6 B20-02954-F17,,
136,#36-7 B20-02954-F13,,
137,#36-8 B20-02954-F10,,
138,#39-1 B22-01428-A13,,
139,#39-2 B22-01428-A19,,
140,#39-3 B22-01428-A20,,
141,#40-1 B22-04307-A2,,
142,#40-2 B22-04307-A4,,
143,#40-3 B22-04307-A5,,
144,#42-1 B22-10323-B12,,
145,#42-2 B22-10323-B14,,
146,#42-3 B22-10323-B15,,
147,#43-1 B23-00682-A5,,
148,#43-2 B23-00682-A7,,
149,#43-3 B23-00682-A8,,
150,#43-4 B23-00682-A10,,
151,#43-5 B23-00682-A9,,
152,#43-6 B23-00682-A3,,
153,#43-7 B23-00682-A2,,
154,#44-1 B23-06684-B33,,
155,#44-2 B23-06684-B42,,
156,#44-3 B23-06684-B45,,
157,#44-4 B23-06684-B36,,
158,#44-5 B23-06684-B37,,
159,#44-6 B23-06684-B39,,
160,#44-7 B23-06684-B43,,
161,#44-8 B23-06684-B44,,
162,#44-9 B23-06684-B47,,
163,#44-10 B23-06684-B48,,
164,#46-1 B24-03425-A4,,
165,#46-2 B24-03425-A5,,
166,#46-3 B24-03425-A6,,
167,#46-4 B24-03425-A7,,
168,#46-5 B24-03425-A8,,
169,#47-1 B25-04665-A4,,
170,#47-2 B25-04665-A6,,
171,#47-3 B25-04665-A8,,
172,#47-4 B25-04665-A7,,
173,#47-5 B25-04665-A5,,
174,#49-1 7815-B7463-1F,,
175,#49-2 7815-B7463-1H,,
176,#49-3 7815-B7463-1K,,
177,#49-4 7815-B7463-1I,,
178,#49-5 7815-B7463-1J,,
179,#49-6 7815-B7463-1E,,
180,#52-1 B21-09631-A3,,
181,#52-2 B21-09631-A4,,
182,#52-3 B21-09631-A6,,
183,#55-1 B19-05880-B11,,
184,#55-2 B19-05880-B13,,
185,#59-1 B-20-00097-A4,,
186,#59-2 B-20-00097-A8,,
187,#59-3 B-20-00097-A2,,
188,#60-1 7816-B1788-1A,,
189,#60-2 7816-B1788-1B,,
190,#60-3 7816-B1788-1D,,
191,#65-1 7815-B5776-E,,
192,#67-1 B19-07597-A4,,
193,#70-1 B22-00299-A4,,
194,#70-2 B22-00299-A17,,
195,#70-3 B22-00299-A7,,
196,#70-4 B22-00299-A5,,
197,#70-5 B22-00299-A13,,
198,#71-1 7816-B2508-1F,,
199,#71-2 7816-B2508-1H,,
200,#71-3 7816-B2508-1I,,
201,#73-1 B-21-02803-A5,,
202,#73-2 B-21-02803-A6,,
203,#73-3 B-21-02803-A10,,
