,train,val,test
0,#1-1 7817B8509,#38-1 B21-12017-A8,#18-1 5165-19
1,#1-2 7817B8509,#38-2 B21-12017-A10,#18-2 5165-19
2,#1-3 7817B8509,#38-3 B21-12017-A11,#18-3 5165-19
3,#4-1 7816B3476,#15-1 5937-18,#66-1 7815-B9613-A
4,#4-2 7816B3476,#15-2 5937-18,#35-1 B-19-09233-A5
5,#4-3 7816B3476-070,#15-3 5937-18-012,#35-2 B-19-09233-A9
6,#6-1 12422-19,#58-1 B19-08189-C5,#35-3 B-19-09233-A10
7,#6-2 12422-19-064,#58-2 B19-08189-C6,#5-1 3505-13-065
8,#6-3 12422-19-063,#62-1 7816-B2200-3A,#5-2 3505-13-069
9,#7-1 7340-19,#62-2 7816-B2200-FP3F,#5-3 3505-13-066
10,#7-2 7340-19-043,#73-1 B-21-02803-A5,#43-1 B23-00682-A5
11,#7-3 7340-19-042,#73-2 B-21-02803-A6,#43-2 B23-00682-A7
12,#26-1 232-16,#73-3 B-21-02803-A10,#43-3 B23-00682-A8
13,#26-2 232-16,#39-1 B22-01428-A13,#43-4 B23-00682-A10
14,#26-3 232-16,#39-2 B22-01428-A19,#43-5 B23-00682-A9
15,#28-1 4611-16-089,#39-3 B22-01428-A20,#43-6 B23-00682-A3
16,#28-2 4611-16,#32-1 B-19-08670-A5,#43-7 B23-00682-A2
17,#28-3 4611-16,#32-2 B-19-08670-A9,#68-1 B18-00886-A9
18,#33-1 7817B9793,#32-3 B-19-08670-A10,#68-2 B18-00886-A10
19,#33-2 7817B9793,#32-4 B-19-08670-A7,#68-3 B18-00886-A5
20,#33-3 7817B9793,,#68-4 B18-00886-A7
21,#48-1 7815-B3143-1E,,#68-5 B18-00886-A8
22,#48-2 7815-B3143-1H,,#68-6 B18-00886-A6
23,#48-3 7815-B3143-1L,,#65-1 7815-B5776-E
24,#48-4 7815-B3143-1G,,
25,#51-1 B-22-05617-A5,,
26,#51-2 B-22-05617-A8,,
27,#53-1 7815-B4257-H,,
28,#53-2 7815-B4257-G,,
29,#54-1 B-19-02542-A2,,
30,#54-2 B-19-02542-A4,,
31,#63-1 7816-B2245-D,,
32,#63-2 7816-B2245-E,,
33,#69-1 B18-02249-A21,,
34,#69-2 B18-02249-A18,,
35,#69-3 B18-02249-A11,,
36,#69-4 B18-02249-A14,,
37,#69-5 B18-02249-A17,,
38,#69-6 B18-02249-A19,,
39,#69-7 B18-02249-A20,,
40,#69-8 B18-02249-A22,,
41,#11-1 7197-17,,
42,#11-2 7197-17-034,,
43,#11-3 7197-17-035,,
44,#12-1 9764-17-033,,
45,#12-2 9764-17,,
46,#12-3 9764-17,,
47,#14-1 5224-18-005,,
48,#14-2 5224-18,,
49,#14-3 5224-18-015,,
50,#20-1 14877-13,,
51,#20-2 14877-13-055,,
52,#20-3 14877-13,,
53,#21-1 15997-13,,
54,#21-2 15997-13-061,,
55,#21-3 15997-13-059,,
56,#22-1 16293-13-062,,
57,#22-2 16293-13,,
58,#22-3 16293-13,,
59,#23-1 650-15,,
60,#23-2 650-15-004,,
61,#23-3 650-15-013,,
62,#27-1 4646-16,,
63,#27-2 4646-16,,
64,#27-3 4646-16,,
65,#29-1 7253-16-047,,
66,#29-2 7253-16-092,,
67,#29-3 7253-16-093,,
68,#30-1 11174-16,,
69,#30-2 11174-16,,
70,#30-3 11174-16-051,,
71,#37-1 B-20-03357-B13,,
72,#37-2 B-20-03357-B14,,
73,#37-3 B-20-03357-B17,,
74,#37-4 B-20-03357-B15,,
75,#37-5 B-20-03357-B12,,
76,#37-6 B-20-03357-B11,,
77,#37-7 B-20-03357-B10,,
78,#37-8 B-20-03357-B9,,
79,#41-1 B23-02852-A25,,
80,#41-2 B23-02852-A27,,
81,#41-3 B23-02852-A30,,
82,#41-4 B23-02852-A32,,
83,#41-5 B23-02852-A24,,
84,#45-1 B23-11889-A6,,
85,#45-2 B23-11889-A7,,
86,#45-3 B23-11889-A8,,
87,#45-4 B23-11889-A5,,
88,#50-1 B25-06910-A10,,
89,#50-2 B25-06910-A15,,
90,#50-3 B25-06910-A16,,
91,#56-1 B-20-03470-A5,,
92,#56-2 B-20-03470-A6,,
93,#57-1 B21-07861-A5,,
94,#57-2 B21-07861-A6,,
95,#57-3 B21-07861-A4,,
96,#61-1 7816-B2200-1A,,
97,#61-2 7816-B2200-1B,,
98,#61-3 7816-B2200-FP1B,,
99,#64-1 7815-B313-C,,
100,#72-1 7816-B3551-1H,,
101,#72-2 7816-B3551-1M,,
102,#72-3 7816-B3551-1G,,
103,#2-1 7817B11902,,
104,#2-2 7817B11902,,
105,#2-3 7817B11902,,
106,#3-1 B-20-00998,,
107,#3-2 B-20-00998,,
108,#3-3 B-20-00998,,
109,#8-1 5263-19,,
110,#8-2 5263-19,,
111,#8-3 5263-19,,
112,#9-1 14710-16-046,,
113,#9-2 14710-16-045,,
114,#9-3 14710-16-037,,
115,#10-1 1164-17,,
116,#10-2 1164-17,,
117,#10-3 1164-17,,
118,#13-1 4176-18,,
119,#13-2 4176-18,,
120,#13-3 4176-18,,
121,#16-1 B-18-03270-A12,,
122,#16-2 B-18-03270-A14,,
123,#16-3 B-18-03270-A15,,
124,#16-4 B-18-03270-A13,,
125,#17-1 11670-18,,
126,#17-2 11670-18-025,,
127,#17-3 11670-18-009,,
128,#19-1 6709-19-052,,
129,#19-2 6709-19,,
130,#19-3 6709-19-053,,
131,#24-1 2805-15,,
132,#24-2 2805-15,,
133,#24-3 2805-15,,
134,#25-1 B-19-03893-A10,,
135,#25-2 B-19-03893-A11,,
136,#25-3 B-19-03893-A14,,
137,#25-4 B-19-03893-A16,,
138,#25-5 B-19-03893-A15,,
139,#25-6 B-19-03893-A8,,
140,#25-7 B-19-03893-A7,,
141,#25-8 B-19-03893-A5,,
142,#31-1 B-18-02412,,
143,#31-2 B-18-02412,,
144,#31-3 B-18-02412,,
145,#34-1 7818B5025,,
146,#34-2 7818B5025,,
147,#34-3 7818B5025,,
148,#36-1 B20-02954-F15,,
149,#36-2 B20-02954-F16,,
150,#36-3 B20-02954-F18,,
151,#36-4 B20-02954-F20,,
152,#36-5 B20-02954-F19,,
153,#36-6 B20-02954-F17,,
154,#36-7 B20-02954-F13,,
155,#36-8 B20-02954-F10,,
156,#40-1 B22-04307-A2,,
157,#40-2 B22-04307-A4,,
158,#40-3 B22-04307-A5,,
159,#42-1 B22-10323-B12,,
160,#42-2 B22-10323-B14,,
161,#42-3 B22-10323-B15,,
162,#44-1 B23-06684-B33,,
163,#44-2 B23-06684-B42,,
164,#44-3 B23-06684-B45,,
165,#44-4 B23-06684-B36,,
166,#44-5 B23-06684-B37,,
167,#44-6 B23-06684-B39,,
168,#44-7 B23-06684-B43,,
169,#44-8 B23-06684-B44,,
170,#44-9 B23-06684-B47,,
171,#44-10 B23-06684-B48,,
172,#46-1 B24-03425-A4,,
173,#46-2 B24-03425-A5,,
174,#46-3 B24-03425-A6,,
175,#46-4 B24-03425-A7,,
176,#46-5 B24-03425-A8,,
177,#47-1 B25-04665-A4,,
178,#47-2 B25-04665-A6,,
179,#47-3 B25-04665-A8,,
180,#47-4 B25-04665-A7,,
181,#47-5 B25-04665-A5,,
182,#49-1 7815-B7463-1F,,
183,#49-2 7815-B7463-1H,,
184,#49-3 7815-B7463-1K,,
185,#49-4 7815-B7463-1I,,
186,#49-5 7815-B7463-1J,,
187,#49-6 7815-B7463-1E,,
188,#52-1 B21-09631-A3,,
189,#52-2 B21-09631-A4,,
190,#52-3 B21-09631-A6,,
191,#55-1 B19-05880-B11,,
192,#55-2 B19-05880-B13,,
193,#59-1 B-20-00097-A4,,
194,#59-2 B-20-00097-A8,,
195,#59-3 B-20-00097-A2,,
196,#60-1 7816-B1788-1A,,
197,#60-2 7816-B1788-1B,,
198,#60-3 7816-B1788-1D,,
199,#67-1 B19-07597-A4,,
200,#70-1 B22-00299-A4,,
201,#70-2 B22-00299-A17,,
202,#70-3 B22-00299-A7,,
203,#70-4 B22-00299-A5,,
204,#70-5 B22-00299-A13,,
205,#71-1 7816-B2508-1F,,
206,#71-2 7816-B2508-1H,,
207,#71-3 7816-B2508-1I,,
