train,val,test
#1-1 7817B8509,#2-1 7817B11902,#7-1 7340-19
#1-2 7817B8509,#2-2 7817B11902,#7-2 7340-19-043
#1-3 7817B8509,#2-3 7817B11902,#7-3 7340-19-042
#5-1 3505-13-065,#3-1 B-20-00998,#14-1 5224-18-005
#5-2 3505-13-069,#3-2 B-20-00998,#14-2 5224-18
#5-3 3505-13-066,#3-3 B-20-00998,#14-3 5224-18-015
#6-1 12422-19,#4-1 7816B3476,#17-1 11670-18
#6-2 12422-19-064,#4-2 7816B3476,#17-2 11670-18-025
#6-3 12422-19-063,#4-3 7816B3476-070,#17-3 11670-18-009
#8-1 5263-19,#9-1 14710-16-046,#19-1 6709-19-052
#8-2 5263-19,#9-2 14710-16-045,#19-2 6709-19
#8-3 5263-19,#9-3 14710-16-037,#19-3 6709-19-053
#10-1 1164-17,#13-1 4176-18,#24-1 2805-15
#10-2 1164-17,#13-2 4176-18,#24-2 2805-15
#10-3 1164-17,#13-3 4176-18,#24-3 2805-15
#11-1 7197-17,#21-1 15997-13,#29-1 7253-16-047
#11-2 7197-17-034,#21-2 15997-13-061,#29-2 7253-16-092
#11-3 7197-17-035,#21-3 15997-13-059,#29-3 7253-16-093
#12-1 9764-17-033,#41-1 B23-02852-A25,#30-1 11174-16
#12-2 9764-17,#41-2 B23-02852-A27,#30-2 11174-16
#12-3 9764-17,#41-3 B23-02852-A30,#30-3 11174-16-051
#15-1 5937-18,,#35-1 B-19-09233-A5
#15-2 5937-18,,#35-2 B-19-09233-A9
#15-3 5937-18-012,,#35-3 B-19-09233-A10
#16-1 B-18-03270-A12,,#36-1 B20-02954-F15
#16-2 B-18-03270-A14,,#36-2 B20-02954-F16
#16-3 B-18-03270-A15,,#36-3 B20-02954-F18
#16-4 B-18-03270-A13,,#38-1 B21-12017-A8
#18-1 5165-19,,#38-2 B21-12017-A10
#18-2 5165-19,,#38-3 B21-12017-A11
#18-3 5165-19,,#40-1 B22-04307-A2
#20-1 14877-13,,#40-2 B22-04307-A4
#20-2 14877-13-055,,#40-3 B22-04307-A5
#20-3 14877-13,,#44-1 B23-06684-B33
#22-1 16293-13-062,,#44-2 B23-06684-B42
#22-2 16293-13,,#44-3 B23-06684-B45
#22-3 16293-13,,#69-1 B18-02249-A21
#23-1 650-15,,#69-2 B18-02249-A18
#23-2 650-15-004,,#69-3 B18-02249-A11
#23-3 650-15-013,,#71-1 7816-B2508-1F
#25-1 B-19-03893-A10,,#71-2 7816-B2508-1H
#25-2 B-19-03893-A11,,#71-3 7816-B2508-1I
#25-3 B-19-03893-A14,,#72-1 7816-B3551-1H
#25-4 B-19-03893-A16,,#72-2 7816-B3551-1M
#25-5 B-19-03893-A15,,#72-3 7816-B3551-1G
#25-6 B-19-03893-A8,,
#25-7 B-19-03893-A7,,
#25-8 B-19-03893-A5,,
#26-1 232-16,,
#26-2 232-16,,
#26-3 232-16,,
#27-1 4646-16,,
#27-2 4646-16,,
#27-3 4646-16,,
#28-1 4611-16-089,,
#28-2 4611-16,,
#28-3 4611-16,,
#31-1 B-18-02412,,
#31-2 B-18-02412,,
#31-3 B-18-02412,,
#32-1 B-19-08670-A5,,
#32-2 B-19-08670-A9,,
