train,val,test
#1-1 7817B8509,#5-1 3505-13-065,#9-1 14710-16-046
#1-2 7817B8509,#5-2 3505-13-069,#9-2 14710-16-045
#1-3 7817B8509,#5-3 3505-13-066,#9-3 14710-16-037
#2-1 7817B11902,#12-1 9764-17-033,#14-1 5224-18-005
#2-2 7817B11902,#12-2 9764-17,#14-2 5224-18
#2-3 7817B11902,#12-3 9764-17,#14-3 5224-18-015
#3-1 B-20-00998,#13-1 4176-18,#18-1 5165-19
#3-2 B-20-00998,#13-2 4176-18,#18-2 5165-19
#3-3 B-20-00998,#13-3 4176-18,#18-3 5165-19
#4-1 7816B3476,#26-1 232-16,#24-1 2805-15
#4-2 7816B3476,#26-2 232-16,#24-2 2805-15
#4-3 7816B3476-070,#26-3 232-16,#24-3 2805-15
#6-1 12422-19,#60-1 7816-B1788-1A,#28-1 4611-16-089
#6-2 12422-19-064,#60-2 7816-B1788-1B,#28-2 4611-16
#6-3 12422-19-063,#60-3 7816-B1788-1D,#28-3 4611-16
#7-1 7340-19,#68-1 B18-00886-A9,#30-1 11174-16
#7-2 7340-19-043,#68-2 B18-00886-A10,#30-2 11174-16
#7-3 7340-19-042,#68-3 B18-00886-A5,#30-3 11174-16-051
#8-1 5263-19,#70-1 B22-00299-A4,#31-1 B-18-02412
#8-2 5263-19,#70-2 B22-00299-A17,#31-2 B-18-02412
#8-3 5263-19,#70-3 B22-00299-A7,#31-3 B-18-02412
#10-1 1164-17,,#32-1 B-19-08670-A5
#10-2 1164-17,,#32-2 B-19-08670-A9
#10-3 1164-17,,#32-3 B-19-08670-A10
#11-1 7197-17,,#33-1 7817B9793
#11-2 7197-17-034,,#33-2 7817B9793
#11-3 7197-17-035,,#33-3 7817B9793
#15-1 5937-18,,#43-1 B23-00682-A5
#15-2 5937-18,,#43-2 B23-00682-A7
#15-3 5937-18-012,,#43-3 B23-00682-A8
#16-1 B-18-03270-A12,,#44-1 B23-06684-B33
#16-2 B-18-03270-A14,,#44-2 B23-06684-B42
#16-3 B-18-03270-A15,,#44-3 B23-06684-B45
